tweet;waktu;user
RT @JayMerkano2: Majelis Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) pada Pengadilan Negeri Jakarta Pusat yang mengadili terdakwa Saef…;Sat Apr 18 20:32:42 +0000 2020;AlFatih68231928
"RT @HARIW4NG: #CoronaBungkamSkandalKorupsi

Jae bilang duit diluar banyak ada 11.000triliun  blm lgi dikantong saya lbh bnyk lagi

Eeh duit…";Sat Apr 18 20:32:19 +0000 2020;AlFatih68231928
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 20:06:35 +0000 2020;Adyputrarajash3
"RT @D14h_Soew4rn02: Rezim jangan berlindung memanfaatkan pandemi Corona dengan mengabaikan skandal rasuah yang telah merugikan negara.

Tag…";Sat Apr 18 19:59:31 +0000 2020;sukatanyaj
"RT @abun___: #CoronaBungkamSkandalKorupsi
#CoronaBungkamSkandalKorupsi

Pak polisi Kalian sebenarnya pelayan dan pengayom rakyat atau alat…";Sat Apr 18 19:39:05 +0000 2020;LegiminYahya
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 19:21:55 +0000 2020;RezaMrc786
"Kuy PreOrder!
Sablon plastisol ink
Bahan cotton combed 30's

#fightingpandemics
#corona
#COVID19
#CoronaIndonesia… https://t.co/4QdWhxWlgm";Sat Apr 18 19:11:19 +0000 2020;acongtuh_
"RT @Mbobz17: Mana surat rekomendasinya pak???

#CoronaBungkamSkandalKorupsi

https://t.co/PDi60alpMZ";Sat Apr 18 18:29:59 +0000 2020;NahrasaPaman
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 18:13:45 +0000 2020;KabulSantoso7
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 18:05:41 +0000 2020;BudiTurmudzi
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 17:55:29 +0000 2020;SakinahAbdull11
"Sampai sekarang saya masih sangat yakin bahwa masih ada yang sadar dan meneriakan kebenaran.
Meski teriakan mereka… https://t.co/o6reC9Isl3";Sat Apr 18 17:50:01 +0000 2020;Ar31748832
RT @JayMerkano2: Majelis Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) pada Pengadilan Negeri Jakarta Pusat yang mengadili terdakwa Saef…;Sat Apr 18 17:40:01 +0000 2020;dsutanandika
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 17:25:42 +0000 2020;KoboiSyariah
RT @andre_nuaba: Haru penuh empati melihat mereka masih harus melawan rasa takut pada Covid-19 demi menyambung hidup dan asa. Ya, ini berat…;Sat Apr 18 17:19:26 +0000 2020;vika_dwijati
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 17:16:55 +0000 2020;Gold29577819
"RT @McKayo_68: Kabupaten-Kota di Jabar &amp; Banten Minta Pemberhentian Sementara KRL
Ini jawabanya ??????

Kereta Rel Listrik (KRL) akan tetap be…";Sat Apr 18 17:09:22 +0000 2020;RAdeAhmadSobir4
"Mereka kuat karena mereka nyata.. 
qt lemah karena qt maya.. 

#CoronaBungkamSkandalKorupsi 
#StafsusOtakKoruptor 
#malamminggu";Sat Apr 18 17:07:34 +0000 2020;Belalan97563102
"Negara ini sudaah . . . . . . . 

#InstruksiMenkumham 
#CoronaBungkamSkandalKorupsi 
#DemokrasiIndonesiaDikebiri… https://t.co/YIdKy8a46s";Sat Apr 18 17:01:07 +0000 2020;Ade_lei
Ibarat membebaskan singa di tengah musim kering, ada anak rusa ya tikam saja. Pembebasan NAPI di tengah krisis ekon… https://t.co/x7Tna30S0l;Sat Apr 18 17:00:03 +0000 2020;andre_nuaba
"RT @abun___: #CoronaBungkamSkandalKorupsi
#CoronaBungkamSkandalKorupsi

Pak polisi Kalian sebenarnya pelayan dan pengayom rakyat atau alat…";Sat Apr 18 16:58:28 +0000 2020;dsutanandika
Pemerintah lagi ngeprank rakyatnya #CoronaBungkamSkandalKorupsi;Sat Apr 18 16:57:46 +0000 2020;olskuyy
"RT @McKayo_68: Kabupaten-Kota di Jabar &amp; Banten Minta Pemberhentian Sementara KRL
Ini jawabanya ??????

Kereta Rel Listrik (KRL) akan tetap be…";Sat Apr 18 16:54:46 +0000 2020;haidir_setiawan
Haru penuh empati melihat mereka masih harus melawan rasa takut pada Covid-19 demi menyambung hidup dan asa. Ya, in… https://t.co/ucJCcINhjJ;Sat Apr 18 16:51:27 +0000 2020;andre_nuaba
"RT @McKayo_68: Kabupaten-Kota di Jabar &amp; Banten Minta Pemberhentian Sementara KRL
Ini jawabanya ??????

Kereta Rel Listrik (KRL) akan tetap be…";Sat Apr 18 16:46:15 +0000 2020;SahraAhli
Dengan kekuatan fulus menjadikan mereka warga kelas satu, kuasai semuanya, yg mereka sisakan hanyalah penjara tempa… https://t.co/aM9rttonaH;Sat Apr 18 16:32:44 +0000 2020;gotte4
"RT @MrET_Centre_Ind: Nan KaTigo baitu pulo Mamak????

DiKampuang Urang Wak Sumando 
Adaiknyo Ado Nan Ditiru 
Malam Minggu DiRumah Sajo 
Nan J…";Sat Apr 18 16:16:04 +0000 2020;oaseminang
RT @JayMerkano2: Majelis Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) pada Pengadilan Negeri Jakarta Pusat yang mengadili terdakwa Saef…;Sat Apr 18 16:14:45 +0000 2020;2dibukaB
RT @ScootRider1: Saya msh simpan salah satu cuitan sampah dinegeri ini.Saat ada warga Indonesia yg mengingatkan,dgn ganasnya dia membully.…;Sat Apr 18 16:13:23 +0000 2020;poppypalupine
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 16:13:02 +0000 2020;sigit_bms
"Nan KaTigo baitu pulo Mamak????

DiKampuang Urang Wak Sumando 
Adaiknyo Ado Nan Ditiru 
Malam Minggu DiRumah Sajo 
Na… https://t.co/Nif76P59qu";Sat Apr 18 16:07:18 +0000 2020;MrET_Centre_Ind
"RT @McKayo_68: Menurut anda survei ini :

??????

Silahkan  ??????

RT    ??    Tidak percaya 
Like. ?.     Percaya 

#CoronaBungkamSkandalKorupsi…";Sat Apr 18 16:06:21 +0000 2020;agomes_taafnam
"Lagi lagi aku terbangun dari liang kasur karna bayangan darimu....
#puisi3baris #CoronaBungkamSkandalKorupsi #DiRumahAjaDulu";Sat Apr 18 16:04:14 +0000 2020;JuniterMario
"RT @HDouboegiez: Ruangguru Dapat Proyek Triliunan, Said Didu: Baru Kali Ini Nepotisme Di Istana Dipertontonkan Terbuka

#CoronaBungkamSkand…";Sat Apr 18 15:58:09 +0000 2020;aguskurni82
"Di berita televisi sering tertulis, nominal dana bantuan dari pemerintah. 
Tp sayang,Kita(rakyat miskin)  blm semua… https://t.co/cEiY8Gq3XW";Sat Apr 18 15:46:14 +0000 2020;OmDiill
RT @JayMerkano2: Majelis Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) pada Pengadilan Negeri Jakarta Pusat yang mengadili terdakwa Saef…;Sat Apr 18 15:45:02 +0000 2020;massmujab
RT @JayMerkano2: Majelis Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) pada Pengadilan Negeri Jakarta Pusat yang mengadili terdakwa Saef…;Sat Apr 18 15:43:39 +0000 2020;hendra0201
Dampak corona ojol sangat dimanjakan apkh krn banyak dan sdh menjd komunitas pdhl masih banyak sopir angkot, tukang… https://t.co/zBRck1IdVH;Sat Apr 18 15:41:46 +0000 2020;nurfauzan_daffa
Saya msh simpan salah satu cuitan sampah dinegeri ini.Saat ada warga Indonesia yg mengingatkan,dgn ganasnya dia mem… https://t.co/deWpg5MIcv;Sat Apr 18 15:36:23 +0000 2020;ScootRider1
"Mereka melakukan persekongkolan disaat masyarakat kesulitan dan kesusahan. Luar biasa
#CoronaBungkamSkandalKorupsi… https://t.co/9QujqmfKTE";Sat Apr 18 15:32:05 +0000 2020;tokshaman
"RT @ekonomi_jeblok: Prediksi 8.000 Warga Akan Kena Corona, Anies Buat Tempat Isolasi di GOR|
BEDA MEMANG
Salut..antisipasi sdh dilakukan, d…";Sat Apr 18 15:28:41 +0000 2020;suara1hati
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 15:28:35 +0000 2020;H4L15541D
"RT @abun___: #CoronaBungkamSkandalKorupsi
#CoronaBungkamSkandalKorupsi

Pak polisi Kalian sebenarnya pelayan dan pengayom rakyat atau alat…";Sat Apr 18 15:18:35 +0000 2020;radenteja
"Gak kenal malam mingguan ????????????
#mutualanaja #MutualanAjaDulu
#malamminggu #PejuangLDR #pejuangantiwarisan… https://t.co/lFljMpMOVX";Sat Apr 18 15:16:40 +0000 2020;rezahaddad5
"RT @behakembar: Twitter, please do your magic. VIRALKAN 
#Covid_19 #ojol #jumatambyar #JumatLawanCovid #CoronaBungkamSkandalKorupsi https:/…";Sat Apr 18 15:12:58 +0000 2020;biskandar83
Jd bahan bullying negara tetangga, netizen emang cuma bisa bacot, tpi jika diperhatikan lebih dalam, ada 2 keputusa… https://t.co/Qbvl7CVVLg;Sat Apr 18 15:08:58 +0000 2020;Andikaprasety07
"RT @cangkeureuheun: #CoronaBungkamSkandalKorupsi

??ini akibat plecinden kurang faham aturan dan etika? 

Atau naluri garong lebih kuat? 

A…";Sat Apr 18 15:08:20 +0000 2020;Unar_25
"RT @HDouboegiez: Ruangguru Dapat Proyek Triliunan, Said Didu: Baru Kali Ini Nepotisme Di Istana Dipertontonkan Terbuka

#CoronaBungkamSkand…";Sat Apr 18 15:02:51 +0000 2020;reyharlan
"RT @khoerulmuna57: Atau hidup untuk sesama (?)
#bagimunegeri 
#berbagisesama 
#berbagiituindah 
#CoronaBungkamSkandalKorupsi 
#CoronaPublic…";Sat Apr 18 14:58:34 +0000 2020;Lusianaaa24
RT @d0ublekill: Yg bikin Corona tu org oposisi Krn bikin pak Jokowi ke kerja keras memberantas Corona. Org oposisi mengacau negara kita dan…;Sat Apr 18 14:54:20 +0000 2020;d0ublekill
Yg bikin Corona tu org oposisi Krn bikin pak Jokowi ke kerja keras memberantas Corona. Org oposisi mengacau negara… https://t.co/nqu3DT2n7y;Sat Apr 18 14:53:11 +0000 2020;d0ublekill
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 14:52:33 +0000 2020;SaveArchipelago
"RT @McKayo_68: Menurut anda survei ini :

??????

Silahkan  ??????

RT    ??    Tidak percaya 
Like. ?.     Percaya 

#CoronaBungkamSkandalKorupsi…";Sat Apr 18 14:51:17 +0000 2020;da4d527247e9402
Mamang nyaneh mah pusingeun keneh ku lokdon , te makaya makaya gara gara korona . jomblo keneh boro boro mikirkeun… https://t.co/4d9ScaGy55;Sat Apr 18 14:50:40 +0000 2020;aripudin_asep
Bayi 4 Bulan asal Muaraenim Positif Corona, Penularannya Masih Misterius https://t.co/0TrOIY2GCX lewat… https://t.co/ktE9b6PkC8;Sat Apr 18 14:48:59 +0000 2020;sukarno_91
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 14:44:45 +0000 2020;dey_mamanya2dha
"RT @demoSoCRAZY: Pemerintah Beri Dana Triliunan Untuk Ruangguru

??@msaid_didu : Baru Kali Ini Nepotisme Dipertontonkan Istana Secara Terbuk…";Sat Apr 18 14:39:14 +0000 2020;CahBodoo
RT @D14h_Soew4rn02: Nggenjot pemasukan negara ditengah pandemi corona dgn mengundang turis sama sj membunuhi rakyat. Keselamatan bangsa dia…;Sat Apr 18 14:38:05 +0000 2020;mei_indriya
"Biarin aja udah, biar ngerasain azab di dunia dulu mereka akibat kelakuannya.

#Covid_19 
#coronavirus… https://t.co/U7OvtYRPlX";Sat Apr 18 14:35:52 +0000 2020;UltramanWb
